image,method,alignment,g_dx,g_dy,g_score,r_dx,r_dy,r_score,elapsed_seconds
Gruppa.tif,pixel_ncc,pyramid,8,33,0.82818462,15,113,0.85162622,18.370
Gruppa.tif,pixel_l2_mse,pyramid,7,33,0.07735023,15,113,0.03079689,8.312
bearded_men.tif,pixel_ncc,pyramid,13,55,0.95081880,4,126,0.84817241,18.365
bearded_men.tif,pixel_l2_mse,pyramid,13,55,0.01265343,4,125,0.08338447,8.165
cathedral.jpg,pixel_ncc,single_scale,2,5,0.95902801,3,12,0.90240027,0.344
cathedral.jpg,pixel_l2_mse,single_scale,2,5,0.02085518,3,12,0.04610612,0.123
church.tif,pixel_ncc,pyramid,4,25,0.90875870,-4,58,0.75702690,15.857
church.tif,pixel_l2_mse,pyramid,555,555,0.05053318,555,555,0.05390589,5.888
emir.tif,pixel_ncc,pyramid,24,49,0.70353231,-547,443,0.30610040,15.279
emir.tif,pixel_l2_mse,pyramid,24,49,0.02450482,-555,-405,0.06636619,7.898
harvesters.tif,pixel_ncc,pyramid,17,60,0.77765815,13,124,0.77768015,19.126
harvesters.tif,pixel_l2_mse,pyramid,16,59,0.05232283,13,124,0.06294708,7.805
icon.tif,pixel_ncc,pyramid,17,41,0.80268943,23,89,0.64718272,17.065
icon.tif,pixel_l2_mse,pyramid,17,41,0.04647467,23,90,0.07394680,8.358
ilemselga.tif,pixel_ncc,pyramid,7,40,0.75592990,11,130,0.64427745,17.357
ilemselga.tif,pixel_l2_mse,pyramid,7,40,0.04822731,11,130,0.06846129,8.807
melons.tif,pixel_ncc,pyramid,11,82,0.93701215,13,178,0.90659259,19.450
melons.tif,pixel_l2_mse,pyramid,11,82,0.01370271,13,178,0.03426898,8.528
monastery.jpg,pixel_ncc,single_scale,2,-3,0.94123109,2,3,0.78970232,0.318
monastery.jpg,pixel_l2_mse,single_scale,2,-3,0.01047075,2,3,0.03886007,0.123
railroad.tif,pixel_ncc,pyramid,-14,34,0.93847678,-25,121,0.83994204,16.850
railroad.tif,pixel_l2_mse,pyramid,-14,34,0.01585300,-25,121,0.02321252,8.812
religous_painting.tif,pixel_ncc,pyramid,3,28,0.83997322,7,68,0.79235841,16.078
religous_painting.tif,pixel_l2_mse,pyramid,3,28,0.02109607,7,68,0.02941509,8.215
self_portrait.tif,pixel_ncc,pyramid,29,79,0.76995829,37,176,0.72371822,16.590
self_portrait.tif,pixel_l2_mse,pyramid,29,79,0.02154114,37,176,0.02147795,8.409
siren.tif,pixel_ncc,pyramid,-6,49,0.84098512,-25,96,0.88491387,18.253
siren.tif,pixel_l2_mse,pyramid,-6,49,0.05166876,-25,96,0.05862188,8.782
three_generations.tif,pixel_ncc,pyramid,14,53,0.92773448,11,112,0.88759626,18.273
three_generations.tif,pixel_l2_mse,pyramid,14,53,0.01702715,11,112,0.01486036,8.291
tobolsk.jpg,pixel_ncc,single_scale,3,3,0.92200751,3,6,0.85468808,1.413
tobolsk.jpg,pixel_l2_mse,single_scale,3,3,0.01198353,3,6,0.03839350,0.125
wharf.tif,pixel_ncc,pyramid,-7,15,0.89780754,-16,83,0.76173725,18.097
wharf.tif,pixel_l2_mse,pyramid,-7,15,0.01440123,-16,83,0.02160996,8.732
